N,P,GREP Elements Found,GREP Time (ms),Bloom Filter Elements Found,Bloom Filter Time (ms),False Positives,m,k,fp_rate_desired,empirical_fp_rate
1024,0.0,0,3367,0,288,96,449971,3,0.1,0.09375
1024,0.25,256,3163,256,686,74,449971,3,0.1,0.09635416666666667
1024,0.5,512,2850,512,1395,63,449971,3,0.1,0.123046875
1024,0.75,768,2642,768,1840,14,449971,3,0.1,0.0546875
1024,1.0,1024,1997,1024,1948,0,449971,3,0.1,
4096,0.0,0,14859,0,1590,400,449971,3,0.1,0.09765625
4096,0.25,1024,12842,1024,2988,327,449971,3,0.1,0.1064453125
4096,0.5,2048,11198,2048,4623,202,449971,3,0.1,0.0986328125
4096,0.75,3072,10002,3072,6239,100,449971,3,0.1,0.09765625
4096,1.0,4096,9408,4096,9563,0,449971,3,0.1,
16384,0.0,0,67017,0,6039,1688,449971,3,0.1,0.10302734375
16384,0.25,4096,50568,4096,11579,1269,449971,3,0.1,0.103271484375
16384,0.5,8192,42870,8192,17211,850,449971,3,0.1,0.103759765625
16384,0.75,12288,35856,12288,23043,420,449971,3,0.1,0.1025390625
16384,1.0,16384,28453,16384,28608,0,449971,3,0.1,
65536,0.0,0,227742,0,22997,6736,449971,3,0.1,0.102783203125
65536,0.25,16384,199467,16384,46510,5089,449971,3,0.1,0.10353597005208333
65536,0.5,32768,175863,32768,78878,3368,449971,3,0.1,0.102783203125
65536,0.75,49152,159511,49152,94717,1682,449971,3,0.1,0.1026611328125
65536,1.0,65536,117844,65536,106707,0,449971,3,0.1,
1024,0.0,0,3745,0,26,5,899942,6,0.01,0.0048828125
1024,0.25,256,3614,256,564,5,899942,6,0.01,0.006510416666666667
1024,0.5,512,3135,512,937,2,899942,6,0.01,0.00390625
1024,0.75,768,2461,768,1445,2,899942,6,0.01,0.0078125
1024,1.0,1024,1931,1024,1894,0,899942,6,0.01,
4096,0.0,0,14956,0,119,31,899942,6,0.01,0.007568359375
4096,0.25,1024,12865,1024,1960,21,899942,6,0.01,0.0068359375
4096,0.5,2048,11043,2048,4103,18,899942,6,0.01,0.0087890625
4096,0.75,3072,9866,3072,6063,8,899942,6,0.01,0.0078125
4096,1.0,4096,10159,4096,8916,0,899942,6,0.01,
16384,0.0,0,66499,0,519,142,899942,6,0.01,0.0086669921875
16384,0.25,4096,50702,4096,7560,106,899942,6,0.01,0.008626302083333334
16384,0.5,8192,42736,8192,14808,71,899942,6,0.01,0.0086669921875
16384,0.75,12288,35851,12288,21911,41,899942,6,0.01,0.010009765625
16384,1.0,16384,28837,16384,28819,0,899942,6,0.01,
65536,0.0,0,228043,0,1912,557,899942,6,0.01,0.0084991455078125
65536,0.25,16384,199525,16384,30297,421,899942,6,0.01,0.008565266927083334
65536,0.5,32768,172775,32768,63190,274,899942,6,0.01,0.00836181640625
65536,0.75,49152,159380,49152,96319,141,899942,6,0.01,0.00860595703125
65536,1.0,65536,118856,65536,114713,0,899942,6,0.01,
1024,0.0,0,4306,0,1,0,1349912,10,0.001,0.0
1024,0.25,256,3374,256,467,0,1349912,10,0.001,0.0
1024,0.5,512,2785,512,1055,0,1349912,10,0.001,0.0
1024,0.75,768,2343,768,1453,0,1349912,10,0.001,0.0
1024,1.0,1024,1828,1024,1815,0,1349912,10,0.001,
